12 22
23 37
42 62
65 72
73 77
78 89
90 93
96 102
105 108
109 112
122 132
139 144
145 148
149 159
165 175
179 184
187 196
197 210
214 224
231 244
249 261
262 283
284 287
288 303
324 335
336 349
353 366
374 384
388 402
403 420
421 429
430 437
438 448
449 457
461 466
473 483
484 508
514 521
529 541
559 568
571 575
580 599
601 609
615 625
634 645
650 660
662 683
684 699
703 719
740 747
748 775
783 799
800 817
819 835
845 857
878 888
897 925
979 992
1002 1016
1019 1037
1061 1072
1087 1094
1096 1123
1171 1190
1191 1232
1233 1249
1250 1271
1278 1284
1297 1304
